year,property_type,stolen_value,recovered_value,pct_recovered
2022,Total,674405041,28309846,4.2
2022,Aircraft,15155,15000,99.0
2022,"Aircraft parts, accessories",39001,0,0.0
2022,Alcohol,2706399,108297,4.0
2022,"Artistic supplies, accessories",208108,201601,96.9
2022,Automobile,23851885,12489819,52.4
2022,Bicycles,634090,189084,29.8
2022,Building materials,2614801,261463,10.0
2022,"Camping, hunting, fishing equipment, supplies",128433,45962,35.8
2022,Chemicals,168444,500,0.3
2022,"Clothes, furs",5216165,214225,4.1
2022,"Collections, collectibles",38107,118,0.3
2022,"Computer hardware, software",10194954,1525781,15.0
2022,Consumable goods,9184027,89829,1.0
2022,"Credit, debit cards2",0,0,
2022,Crops,30200,0,0.0
2022,"Documents, personal or business2",0,0,
2022,Drug equipment,2171,1,0.05
2022,"Drugs, narcotics",24909,10,0.05
2022,Explosives,35356,0,0.0
2022,Farm equipment,463550,137704,29.7
2022,Firearm accessories,28148,900,3.2
2022,Firearms,493268,25111,5.1
2022,Fuel,97919,8840,9.0
2022,Gambling equipment,10754,1130,10.5
2022,Household goods,2773294,99229,3.6
2022,Identity documents2,0,0,
2022,Identity intangibles2,0,0,
2022,Industrial equipment,2580491,268276,10.4
2022,"Jewelry, precious metals",3152118,364095,11.6
2022,Law enforcement equipment,22484,601,2.7
2022,"Lawn, yard, garden equipment",1323747,112110,8.5
2022,Livestock,121150,5000,4.1
2022,Logging equipment,8934,2000,22.4
2022,"Medical, medical lab equipment",248985,4249,1.7
2022,Merchandise,7319999,320796,4.4
2022,"Metals, non-precious",2452724,13760,0.6
2022,Money,521718806,51343,0.0
2022,Musical instruments,86188,35429,41.1
2022,Negotiable instruments,198498,4,0.05
2022,Nonnegotiable instrument2,0,0,
2022,Office equipment,132483,7395,5.6
2022,Other,39405672,983112,2.5
2022,Other motor vehicles,3502983,798076,22.8
2022,Pending inventory,99,0,0.0
2022,Pets,30199,4200,13.9
2022,"Photographic, optical equipment",519756,2581,0.5
2022,Portable electronic communications,2710365,167409,6.2
2022,"Purse, wallet",374430,38953,10.4
2022,"Radio, TV, VCR",2112145,81189,3.8
2022,Recordings,343938,251675,73.2
2022,"Recreational, sports equipment",266782,8602,3.2
2022,Recreational vehicles,953527,280648,29.4
2022,"Structure, other",1500,0,0.0
2022,"Structure, other commercial",1,0,0.0
2022,"Structure, other residence",8001,0,0.0
2022,"Structure, single dwelling",13900,1800,12.9
2022,"Structure, storage",20800,0,0.0
2022,Tools,3820027,243149,6.4
2022,Trailers,7922243,2636941,33.3
2022,Trucks,10969778,5848940,53.3
2022,Vehicle parts,2970573,355029,12.0
2022,Watercraft,70919,7800,11.0
2022,"Watercraft equipment, parts, accessories",11434,0,0.0
2022,Weapons-Other,50224,80,0.2
2023,Total,1328107774,139174300,10.5
2023,Aircraft,17650,0,0.0
2023,"Aircraft parts, accessories",131159,0,0.0
2023,Alcohol,6269839,266414,4.2
2023,"Artistic supplies, accessories",107271,1,0.05
2023,Automobile,133732006,117010621,87.5
2023,Bicycles,482011,35151,7.3
2023,Building materials,13284617,1607806,12.1
2023,Buses,729903,564203,77.3
2023,"Camping, hunting, fishing equipment, supplies",138653,450,0.3
2023,Chemicals,162573,20,0.05
2023,"Clothes, furs",7856128,703830,9.0
2023,"Collections, collectibles",203624,191,0.1
2023,"Computer hardware, software",18732969,334586,1.8
2023,Consumable goods,16814144,1216540,7.2
2023,"Credit, debit cards2",0,0,
2023,Crops,19499,0,0.0
2023,"Documents, personal or business2",0,0,
2023,Drug equipment,9297,48,0.5
2023,"Drugs, narcotics",98176,965,1.0
2023,Explosives,27175,0,0.0
2023,Farm equipment,826623,78200,9.5
2023,Firearm accessories,12554,1000,8.0
2023,Firearms,509223,20721,4.1
2023,Fuel,151021,45459,30.1
2023,Gambling equipment,134198,0,0.0
2023,Household goods,5031708,49861,1.0
2023,Identity documents2,0,0,
2023,Identity intangibles2,0,0,
2023,Industrial equipment,3798677,293779,7.7
2023,"Jewelry, precious metals",6857496,62531,0.9
2023,Law enforcement equipment,509,503,98.8
2023,"Lawn, yard, garden equipment",629284,19277,3.1
2023,Livestock,7700,100,1.3
2023,Logging equipment,163757,0,0.0
2023,"Medical, medical lab equipment",792521,190071,24.0
2023,Merchandise,9386590,177928,1.9
2023,"Metals, non-precious",3284797,60770,1.9
2023,Money,1011624043,37545,0.05
2023,Musical instruments,86540,0,0.0
2023,Negotiable instruments,258959,841,0.3
2023,Nonnegotiable instrument2,0,0,
2023,Office equipment,473755,15567,3.3
2023,Other,32962779,3058544,9.3
2023,Other motor vehicles,4834665,1396996,28.9
2023,Pending inventory,74,0,0.0
2023,Pets,32299,1500,4.6
2023,"Photographic, optical equipment",1203454,7390,0.6
2023,Portable electronic communications,5285352,87901,1.7
2023,"Purse, wallet",505557,6333,1.3
2023,"Radio, TV, VCR",4084894,517804,12.7
2023,Recordings,59978,1242,2.1
2023,"Recreational, sports equipment",504120,10010,2.0
2023,Recreational vehicles,551848,219445,39.8
2023,"Structure, other",12871,0,0.0
2023,"Structure, other commercial",254370,0,0.0
2023,"Structure, other industrial",1000,0,0.0
2023,"Structure, other residence",42000,0,0.0
2023,"Structure, public",0,0,
2023,"Structure, single dwelling",30221,24,0.1
2023,"Structure, storage",68775,0,0.0
2023,Tools,7541728,265059,3.5
2023,Trailers,10357024,3572689,34.5
2023,Trucks,13175337,6413124,48.7
2023,Vehicle parts,3241837,644002,19.9
2023,Watercraft,387801,175001,45.1
2023,"Watercraft equipment, parts, accessories",98695,0,0.0
2023,Weapons-Other,24446,2257,9.2
2024,Total,483384469,46768483,9.7
2024,Aircraft,1391,0,0.0
2024,"Aircraft parts, accessories",402450,0,0.0
2024,Alcohol,8231451,314233,3.8
2024,"Artistic supplies, accessories",485912,6,0.05
2024,Automobile,38447002,16750145,43.6
2024,Bicycles,1208326,33046,2.7
2024,Building materials,5958985,489750,8.2
2024,Buses,247000,189000,76.5
2024,"Camping, hunting, fishing equipment, supplies",1180500,1060,0.1
2024,Chemicals,602392,0,0.0
2024,"Clothes, furs",18469037,483448,2.6
2024,"Collections, collectibles",344188,143828,41.8
2024,"Computer hardware, software",25360744,1755758,6.9
2024,Consumable goods,21505372,3003500,14.0
2024,"Credit, debit cards2",0,0,
2024,Crops,168736,111,0.1
2024,"Documents, personal or business2",0,0,
2024,Drug equipment,12226,0,0.0
2024,"Drugs, narcotics",660436,6009,0.9
2024,Explosives,35834,0,0.0
2024,Farm equipment,1229532,189328,15.4
2024,Firearm accessories,45553,116,0.3
2024,Firearms,559162,30349,5.4
2024,Fuel,363580,15381,4.2
2024,Gambling equipment,11274,0,0.0
2024,Household goods,10759594,1433315,13.3
2024,Identity documents2,0,0,
2024,Identity intangibles2,0,0,
2024,Industrial equipment,4822793,493584,10.2
2024,"Jewelry, precious metals",5649402,93755,1.7
2024,Law enforcement equipment,17729,1351,7.6
2024,"Lawn, yard, garden equipment",1251122,139979,11.2
2024,Livestock,59512,53910,90.6
2024,Logging equipment,20664,0,0.0
2024,"Medical, medical lab equipment",1770626,2194,0.1
2024,Merchandise,21117361,789380,3.7
2024,"Metals, non-precious",6598609,306747,4.6
2024,Money,14859570,78276,0.5
2024,Musical instruments,406953,5445,1.3
2024,Negotiable instruments,919403,1146,0.1
2024,Nonnegotiable instrument2,0,0,
2024,Office equipment,1149111,7040,0.6
2024,Other,185645412,2132063,1.1
2024,Other motor vehicles,6225654,1760723,28.3
2024,Pending inventory,171,2,1.2
2024,Pets,16506,100,0.6
2024,"Photographic, optical equipment",3792952,3499,0.1
2024,Portable electronic communications,31238493,90987,0.3
2024,"Purse, wallet",1528846,15274,1.0
2024,"Radio, TV, VCR",9102981,972579,10.7
2024,Recordings,45195,20,0.05
