year,property_type,stolen_value,recovered_value,pct_recovered
2022,Total,674405041,28309846,4.2
2022,Other,39405672,983112,2.5
2022,Trucks,10969778,5848940,53.3
2022,"Computer hardware, software",10194954,1525781,15.0
2022,Consumable goods,9184027,89829,1.0
2022,Trailers,7922243,2636941,33.3
2022,Merchandise,7319999,320796,4.4
2022,"Clothes, furs",5216165,214225,4.1
2022,Other motor vehicles,3502983,798076,22.8
2022,Vehicle parts,2970573,355029,12.0
2022,Portable electronic communications,2710365,167409,6.2
2022,Alcohol,2706399,108297,4.0
2022,Industrial equipment,2580491,268276,10.4
2022,"Metals, non-precious",2452724,13760,0.6
2022,Firearms,493268,25111,5.1
2022,Farm equipment,463550,137704,29.7
2022,Chemicals,168444,500,0.3
2022,Fuel,97919,8840,9.0
2022,"Drugs, narcotics",24909,10,0.05
2023,Total,1328107774,139174300,10.5
2023,Other,32962779,3058544,9.3
2023,"Computer hardware, software",18732969,334586,1.8
2023,Consumable goods,16814144,1216540,7.2
2023,Trucks,13175337,6413124,48.7
2023,Trailers,10357024,3572689,34.5
2023,Merchandise,9386590,177928,1.9
2023,"Clothes, furs",7856128,703830,9.0
2023,Alcohol,6269839,266414,4.2
2023,Portable electronic communications,5285352,87901,1.7
2023,Other motor vehicles,4834665,1396996,28.9
2023,Industrial equipment,3798677,293779,7.7
2023,"Metals, non-precious",3284797,60770,1.9
2023,Vehicle parts,3241837,644002,19.9
2023,Farm equipment,826623,78200,9.5
2023,Firearms,509223,20721,4.1
2023,Chemicals,162573,20,0.05
2023,Fuel,151021,45459,30.1
2023,"Drugs, narcotics",98176,965,1.0
2024,Total,483384469,46768483,9.7
2024,Other,185645412,2132063,1.1
2024,Portable electronic communications,31238493,90987,0.3
2024,"Computer hardware, software",25360744,1755758,6.9
2024,Consumable goods,21505372,3003500,14.0
2024,Merchandise,21117361,789380,3.7
2024,"Clothes, furs",18469037,483448,2.6
2024,Trailers,16425506,5473871,33.3
2024,Trucks,14519914,7279102,50.1
2024,Vehicle parts,9998186,1104522,11.0
2024,Alcohol,8231451,314233,3.8
2024,"Metals, non-precious",6598609,306747,4.6
2024,Other motor vehicles,6225654,1760723,28.3
2024,Industrial equipment,4822793,493584,10.2
2024,Farm equipment,1229532,189328,15.4
2024,"Drugs, narcotics",660436,6009,0.9
2024,Chemicals,602392,0,0.0
2024,Firearms,559162,30349,5.4
2024,Fuel,363580,15381,4.2
