Month,Port,AVERAGE of Avg. Berthing Time (hr)
April 2025,Baltimore,25.88106818
,Charleston,20.94419464
,Houston,43.38444097
,LALB,73.06845676
,NYNJ,31.91230493
,Savannah,29.3857488
,Seattle,34.16464583
,"VA, Port of",19.53090965
April 2025 Total,,34.78397122
February 2025,Baltimore,26.48965774
,Charleston,24.28482657
,Houston,48.85756944
,LALB,81.15939543
,NYNJ,35.14593719
,Savannah,28.91447917
,Seattle,49.35632937
,"VA, Port of",20.7824508
February 2025 Total,,39.37383071
January 2025,Baltimore,31.29464947
,Charleston,24.10151876
,Houston,50.69167787
,LALB,80.53535375
,NYNJ,39.59513274
,Savannah,31.34457118
,Seattle,42.89516667
,"VA, Port of",21.371108
January 2025 Total,,38.77806736
June 2025,Baltimore,26.55041708
,Charleston,24.98131944
,Houston,47.11452254
,LALB,78.60798508
,NYNJ,33.53275428
,Savannah,35.26327019
,Seattle,39.13058036
,"VA, Port of",18.64802387
June 2025 Total,,39.26731479
March 2025,Baltimore,25.91382479
,Charleston,20.44246354
,Houston,48.02258432
,LALB,75.52206862
,NYNJ,32.35236414
,Savannah,29.6919892
,Seattle,41.82662857
,"VA, Port of",19.94141245
March 2025 Total,,36.71416695
May 2025,Baltimore,21.79271756
,Charleston,19.11263535
,Houston,44.30897619
,LALB,65.7474203
,NYNJ,30.0044017
,Savannah,28.41330357
,Seattle,40.63199405
,"VA, Port of",20.03577895
May 2025 Total,,33.75590346
Grand Total,,37.0211169
