Port,Lat,Lon,Median Berthing Time (hour)
"Wilmington, NC",34.227365,-77.950496,14.06
"Wilmington, DE",39.71589,-75.50697,30.33
"Virginia, VA, Port of",36.86642,-76.31174,21.465
"Valdez, AK",61.12473,-146.3464,18.75
"Texas City, TX",29.363068,-94.918091,41.73
"Tampa Port Authority, FL",27.78534,-82.52235,30.83
"Tacoma, WA",47.28966,-122.4515,22.46
"South Louisiana, LA, Port of",30.03345,-90.61794,40.25
"South Jersey Port Corp, NJ",39.846445,-75.261085,35.835
"Seattle, WA",47.587711,-122.359218,35.415
"San Juan, PR",18.432783,-66.096678,18.41
"Richmond, CA",37.924237,-122.374233,35.835
"PortMiami, FL",25.782862,-80.181642,15.53
"Port of Vancouver USA, WA",45.62244,-122.6806,23.75
"Port of Savannah, GA",32.084711,-81.095382,26.405
"Port of Providence, RI",41.81178,-71.39844,28.935
"Port of Portland, OR",45.47881,-122.6653,21.835
"Port of Pascagoula, MS",30.34802,-88.55879,46.48
"Port of Palm Beach District, FL",26.76904,-80.05267,19.26
"Port of Oakland, CA",37.82152,-122.3081,33.32
"Port of Los Angeles, CA",33.726635,-118.268099,56.82
"Port of Long Beach, CA",33.73957,-118.2095,40.545
"Port of Gulfport, MS",30.359621,-89.092568,13.53
"Port of Greater Baton Rouge, LA",30.42292,-91.19934,45.58
"Port of Charleston, SC",32.788781,-79.921595,20.58
"Port of Brunswick, GA",31.132426,-81.53666,19.96
"Port of Alaska, AK",61.23778,-149.895,13.125
"Port Freeport, TX",28.96133,-95.3707,32.17
"Port Everglades, FL",26.093392,-80.117801,14.39
"Port Arthur, TX",29.83142,-93.96069,43.17
"Plaquemines Port District, LA",29.480004,-89.687447,28.83
"Philadelphia Regional Port, PA",39.91882,-75.202191,17.22
"New York, NY & NJ",40.673949,-74.038357,30.31
"New Orleans, LA",29.91414,-90.085256,30.06
"Mobile, AL",30.69123,-88.035834,24.83
"Lake Charles Harbor District, LA",30.106406,-93.286839,40.25
"Kalaeloa Barbers Point, HI",21.323066,-158.113683,56
"Kahului, Maui, HI",20.89861,-156.4728,8.915
"Jacksonville, FL",30.322757,-81.665125,26.58
"Houston Port Authority, TX",29.747023,-95.293679,42.585
"Honolulu, O'ahu, HI",21.31111,-157.8717,31.17
"Davisville, RI",41.614468,-71.408044,11.95
"Corpus Christi, TX",27.81277,-97.39789,43.75
"Boston, MA",42.342468,-71.032029,22.34
"Beaumont, TX",30.084872,-94.094985,44.08
"Baltimore, MD",39.250827,-76.56164,24.22
