SUM of TEUs,,Type,,,,
Month of Date,Port,Export_Empty,Export_Loaded,Import_Empty,Import_Loaded,Total_TEU
January 2019,"Charleston, SC","45,712.00","63,750.00","8,120.00","88,107.00","205,689.00"
,"Houston, TX","20,698.00","87,961.00","10,975.00","95,318.00","214,952.00"
,"Long Beach, CA","209,870.00","117,288.00","6,290.00","323,838.00","657,286.00"
,"Los Angeles, CA","261,726.00","144,993.00","15,807.75","429,922.75","852,449.50"
,"NWSA (Seattle & Tacoma, WA)","60,043.00","72,859.00","15,978.00","128,615.00","277,495.00"
,"Oakland, CA","39,769.00","75,350.00","15,482.00","81,893.00","212,494.00"
,Port of NY & NJ,"182,337.00","111,833.00","1,016.00","327,345.00","622,531.00"
,"Port of Virginia, VA","50,538.00","77,948.00","1,868.00","109,757.00","240,111.00"
,"Savannah, GA","93,907.00","124,373.00","2,216.00","209,583.00","430,079.00"
January 2019 Total,,"964,600.00","876,355.00","77,752.75","1,794,378.75","3,713,086.50"
February 2019,"Charleston, SC","31,869.00","62,086.00","6,510.00","77,667.00","178,132.00"
,"Houston, TX","15,322.00","86,460.00","9,759.00","86,953.00","198,494.00"
,"Long Beach, CA","182,731.00","105,287.00","5,734.00","302,865.00","596,617.00"
,"Los Angeles, CA","198,201.50","142,554.50","16,234.80","348,315.75","705,306.55"
,"NWSA (Seattle & Tacoma, WA)","44,157.00","65,610.00","12,207.00","99,669.00","221,643.00"
,"Oakland, CA","33,662.00","67,837.00","14,209.00","69,977.00","185,685.00"
,Port of NY & NJ,"175,358.00","113,358.00",977.00,"295,523.00","585,216.00"
,"Port of Virginia, VA","44,038.00","76,642.00","2,115.00","105,357.00","228,152.00"
,"Savannah, GA","52,633.00","105,260.00","4,465.00","149,685.00","312,043.00"
February 2019 Total,,"777,971.50","825,094.50","72,210.80","1,536,011.75","3,211,288.55"
March 2019,"Charleston, SC","37,439.00","77,704.00","6,095.00","92,875.00","214,113.00"
,"Houston, TX","17,489.00","118,295.00","35,333.00","109,604.00","280,721.00"
,"Long Beach, CA","165,313.00","131,436.00","9,033.00","247,039.00","552,821.00"
,"Los Angeles, CA","180,999.50","158,923.75","13,866.95","297,186.95","650,977.15"
,"NWSA (Seattle & Tacoma, WA)","52,437.00","86,856.00","20,084.00","117,007.00","276,384.00"
,"Oakland, CA","30,533.00","88,202.00","20,523.00","74,714.00","213,972.00"
,Port of NY & NJ,"170,777.00","130,038.00","1,302.00","282,981.00","585,098.00"
,"Port of Virginia, VA","41,712.00","89,282.00","2,002.00","107,040.00","240,036.00"
,"Savannah, GA","59,089.00","155,083.00","9,785.00","186,369.00","410,326.00"
March 2019 Total,,"755,788.50","1,035,819.75","118,023.95","1,514,815.95","3,424,448.15"
April 2019,"Charleston, SC","35,969.00","73,295.00","7,682.00","87,675.00","204,621.00"
,"Houston, TX","18,230.00","106,654.00","27,182.00","100,627.00","252,693.00"
,"Long Beach, CA","179,721.00","123,804.00","6,713.00","317,883.00","628,121.00"
,"Los Angeles, CA","202,589.70","155,532.75","17,598.85","360,744.65","736,465.95"
,"NWSA (Seattle & Tacoma, WA)","56,604.00","81,305.00","15,221.00","112,652.00","265,782.00"
,"Oakland, CA","36,357.00","79,291.00","19,652.00","80,702.00","216,002.00"
,Port of NY & NJ,"174,577.00","131,311.00","1,550.00","297,825.00","605,263.00"
,"Port of Virginia, VA","38,580.00","85,378.00","2,710.00","119,266.00","245,934.00"
,"Savannah, GA","51,707.00","129,726.00","7,386.00","175,661.00","364,480.00"
April 2019 Total,,"794,334.70","966,296.75","105,694.85","1,653,035.65","3,519,361.95"
May 2019,"Charleston, SC","38,875.00","71,399.00","6,175.00","88,009.00","204,458.00"
,"Houston, TX","17,953.00","116,693.00","21,289.00","107,126.00","263,061.00"
,"Long Beach, CA","157,592.00","120,577.00","4,887.00","290,568.00","573,624.00"
,"Los Angeles, CA","220,991.50","167,357.25","12,524.40","427,789.00","828,662.15"
,"NWSA (Seattle & Tacoma, WA)","51,252.00","70,541.00","13,121.00","111,730.00","246,644.00"
,"Oakland, CA","42,363.00","78,070.00","16,699.00","85,970.00","223,102.00"
,Port of NY & NJ,"169,448.00","132,315.00","1,263.00","340,680.00","643,706.00"
,"Port of Virginia, VA","51,173.00","88,065.00","2,064.00","119,592.00","260,894.00"
,"Savannah, GA","58,461.00","126,895.00","2,773.00","185,265.00","373,394.00"
May 2019 Total,,"808,108.50","971,912.25","80,795.40","1,756,729.00","3,617,545.15"
June 2019,"Charleston, SC","39,463.00","66,496.00","8,371.00","86,076.00","200,406.00"
,"Houston, TX","19,897.00","106,429.00","20,003.00","105,159.00","251,488.00"
,"Long Beach, CA","205,497.00","133,833.00","6,221.00","331,617.00","677,168.00"
,"Los Angeles, CA","219,635.25","139,318.00","9,517.50","396,306.50","764,777.25"
,"NWSA (Seattle & Tacoma, WA)","59,432.00","76,559.00","13,320.00","122,645.00","271,956.00"
,"Oakland, CA","35,113.00","74,901.00","12,822.00","80,895.00","203,731.00"
,Port of NY & NJ,"185,055.00","122,663.00","1,601.00","301,708.00","611,027.00"
,"Port of Virginia, VA","48,622.00","76,535.00","1,508.00","112,664.00","239,329.00"
,"Savannah, GA","69,056.00","119,295.00","4,756.00","168,799.00","361,906.00"
June 2019 Total,,"881,770.25","916,029.00","78,119.50","1,705,869.50","3,581,788.25"
July 2019,"Charleston, SC","38,174.00","72,126.00","7,535.00","92,707.00","210,542.00"
,"Houston, TX","24,035.00","104,470.00","20,426.00","111,062.00","259,993.00"
,"Long Beach, CA","191,914.00","111,654.00","4,862.00","313,350.00","621,780.00"
,"Los Angeles, CA","263,209.00","161,340.25","11,166.70","476,438.20","912,154.15"
,"NWSA (Seattle & Tacoma, WA)","52,580.00","73,828.00","8,965.00","122,946.00","258,319.00"
,"Oakland, CA","36,266.00","76,414.00","14,913.00","90,598.00","218,191.00"
,Port of NY & NJ,"206,251.00","118,015.00","1,756.00","336,972.00","662,994.00"
,"Port of Virginia, VA","56,696.00","80,955.00","2,649.00","125,260.00","265,560.00"
,"Savannah, GA","66,491.00","117,790.00","5,401.00","197,341.00","387,023.00"
July 2019 Total,,"935,616.00","916,592.25","77,673.70","1,866,674.20","3,796,556.15"
August 2019,"Charleston, SC","48,363.00","73,927.00","7,599.00","103,221.00","233,110.00"
,"Houston, TX","22,418.00","109,388.00","16,986.00","110,318.00","259,110.00"
,"Long Beach, CA","209,078.00","124,975.00","7,160.00","322,780.00","663,993.00"
,"Los Angeles, CA","265,711.00","146,284.00","11,472.55","437,613.25","861,080.80"
,"NWSA (Seattle & Tacoma, WA)","58,749.00","74,852.00","9,929.00","112,267.00","255,797.00"
,"Oakland, CA","44,938.00","75,080.00","16,195.00","88,325.00","224,538.00"
,Port of NY & NJ,"207,875.00","127,237.00","1,932.00","342,541.00","679,585.00"
,"Port of Virginia, VA","54,405.00","80,655.00","1,073.00","121,542.00","257,675.00"
,"Savannah, GA","89,076.00","125,558.00","6,095.00","217,017.00","437,746.00"
August 2019 Total,,"1,000,613.00","937,956.00","78,441.55","1,855,624.25","3,872,634.80"
September 2019,"Charleston, SC","39,408.00","61,494.00","3,935.00","90,111.00","194,948.00"
,"Houston, TX","20,777.00","102,309.00","22,168.00","106,270.00","251,524.00"
,"Long Beach, CA","224,215.00","123,215.00","4,606.00","354,919.00","706,955.00"
,"Los Angeles, CA","234,453.50","130,768.50","12,360.90","402,319.85","779,902.75"
,"NWSA (Seattle & Tacoma, WA)","56,313.00","82,148.00","9,619.00","131,451.00","279,531.00"
,"Oakland, CA","37,332.00","72,058.00","12,249.00","84,906.00","206,545.00"
,Port of NY & NJ,"191,143.00","116,231.00","1,721.00","315,866.00","624,961.00"
,"Port of Virginia, VA","52,766.00","71,561.00","2,447.00","114,643.00","241,417.00"
,"Savannah, GA","69,683.00","107,972.00","8,879.00","183,466.00","370,000.00"
September 2019 Total,,"926,090.50","867,756.50","77,984.90","1,783,951.85","3,655,783.75"
October 2019,"Charleston, SC","45,191.00","69,952.00","6,914.00","95,302.00","217,359.00"
,"Houston, TX","20,904.00","109,362.00","17,720.00","110,585.00","258,571.00"
,"Long Beach, CA","214,574.00","131,635.00","5,155.00","337,062.00","688,426.00"
,"Los Angeles, CA","227,431.50","140,331.50","9,656.90","392,768.60","770,188.50"
,"NWSA (Seattle & Tacoma, WA)","49,468.00","79,321.00","13,072.00","109,469.00","251,330.00"
,"Oakland, CA","23,234.00","87,393.00","15,671.00","78,583.00","204,881.00"
,Port of NY & NJ,"198,173.00","127,256.00","1,509.00","339,443.00","666,381.00"
,"Port of Virginia, VA","57,427.00","83,557.00","1,850.00","124,142.00","266,976.00"
,"Savannah, GA","93,250.00","127,971.00","7,678.00","199,483.00","428,382.00"
October 2019 Total,,"929,652.50","956,778.50","79,225.90","1,786,837.60","3,752,494.50"
November 2019,"Charleston, SC","34,357.00","62,831.00","4,955.00","82,785.00","184,928.00"
,"Houston, TX","14,129.00","107,927.00","22,188.00","101,494.00","245,738.00"
,"Long Beach, CA","176,730.00","123,705.00","6,263.00","293,287.00","599,985.00"
,"Los Angeles, CA","209,935.75","138,544.50","9,087.95","371,349.70","728,917.90"
,"NWSA (Seattle & Tacoma, WA)","33,655.00","73,589.00","13,570.00","94,978.00","215,792.00"
,"Oakland, CA","19,743.00","81,780.00","18,470.00","77,367.00","197,360.00"
,Port of NY & NJ,"177,744.00","119,422.00","1,337.00","301,123.00","599,626.00"
,"Port of Virginia, VA","44,992.00","77,241.00","1,339.00","103,410.00","226,982.00"
,"Savannah, GA","62,592.00","119,126.00","7,383.00","173,863.00","362,964.00"
November 2019 Total,,"773,877.75","904,165.50","84,592.95","1,599,656.70","3,362,292.90"
December 2019,"Charleston, SC","37,829.00","61,903.00","6,371.00","81,779.00","187,882.00"
,"Houston, TX","15,322.00","109,721.00","28,513.00","100,274.00","253,830.00"
,"Long Beach, CA","208,852.00","125,395.00","7,783.00","323,231.00","665,261.00"
,"Los Angeles, CA","232,727.00","130,228.50","10,283.25","373,511.00","746,749.75"
,"NWSA (Seattle & Tacoma, WA)","43,299.00","75,868.00","12,688.00","105,823.00","237,678.00"
,"Oakland, CA","23,668.00","74,643.00","14,372.00","81,281.00","193,964.00"
,Port of NY & NJ,"183,467.00","110,768.00","1,544.00","288,964.00","584,743.00"
,"Port of Virginia, VA","41,854.00","78,285.00","1,052.00","103,711.00","224,902.00"
,"Savannah, GA","68,002.00","111,324.00","9,385.00","172,124.00","360,835.00"
December 2019 Total,,"855,020.00","878,135.50","91,991.25","1,630,698.00","3,455,844.75"
January 2020,"Charleston, SC","44,752.00","68,505.00","7,098.00","90,665.00","211,020.00"
,"Houston, TX","14,692.00","118,782.00","30,252.00","105,047.00","268,773.00"
,"Long Beach, CA","200,807.00","108,624.00","7,437.00","309,961.00","626,829.00"
,"Los Angeles, CA","232,176.25","148,206.00","11,030.65","414,730.85","806,143.75"
,"NWSA (Seattle & Tacoma, WA)","39,248.00","66,410.00","10,709.00","102,878.00","219,245.00"
,"Oakland, CA","29,334.00","77,932.00","16,115.00","87,869.00","211,250.00"
,Port of NY & NJ,"173,892.00","118,488.00","2,001.00","322,643.00","617,024.00"
,"Port of Virginia, VA","36,656.00","79,328.00","2,366.00","108,884.00","227,234.00"
,"Savannah, GA","60,000.00","121,960.00","6,950.00","188,762.00","377,672.00"
January 2020 Total,,"831,557.25","908,235.00","93,958.65","1,731,439.85","3,565,190.75"
February 2020,"Charleston, SC","29,117.00","74,235.00","5,684.00","88,178.00","197,214.00"
,"Houston, TX","10,137.00","110,854.00","44,560.00","89,923.00","255,474.00"
,"Long Beach, CA","154,986.00","125,559.00","9,291.00","248,592.00","538,428.00"
,"Los Angeles, CA","130,833.75","134,468.50","8,710.00","270,025.05","544,037.30"
,"NWSA (Seattle & Tacoma, WA)","39,591.00","68,553.00","12,570.00","91,660.00","212,374.00"
,"Oakland, CA","20,520.00","78,280.00","17,858.00","63,568.00","180,226.00"
,Port of NY & NJ,"163,564.00","113,801.00","1,314.00","300,445.00","579,124.00"
,"Port of Virginia, VA","27,918.00","80,834.00","1,505.00","97,559.00","207,816.00"
,"Savannah, GA","57,404.00","125,953.00","11,042.00","170,007.00","364,406.00"
February 2020 Total,,"634,070.75","912,537.50","112,534.00","1,419,957.05","3,079,099.30"
March 2020,"Charleston, SC","28,911.00","73,077.00","7,625.00","76,019.00","185,632.00"
,"Houston, TX","8,118.00","114,972.00","37,448.00","88,302.00","248,840.00"
,"Long Beach, CA","125,300.00","145,442.00","12,352.00","234,570.00","517,664.00"
,"Los Angeles, CA","96,815.00","121,146.00","11,352.75","220,254.55","449,568.30"
,"NWSA (Seattle & Tacoma, WA)","22,167.00","79,395.00","16,317.00","84,035.00","201,914.00"
,"Oakland, CA","17,282.00","83,782.00","22,090.00","67,035.00","190,189.00"
,Port of NY & NJ,"150,702.00","136,780.00","1,837.00","271,511.00","560,830.00"
,"Port of Virginia, VA","26,347.00","90,761.00","3,078.00","99,129.00","219,315.00"
,"Savannah, GA","36,685.00","136,774.00","15,296.00","147,034.00","335,789.00"
March 2020 Total,,"512,327.00","982,129.00","127,395.75","1,287,889.55","2,909,741.30"
April 2020,"Charleston, SC","31,463.00","56,611.00","5,178.00","82,899.00","176,151.00"
,"Houston, TX","11,276.00","91,808.00","18,422.00","100,034.00","221,540.00"
,"Long Beach, CA","145,931.00","102,502.00","17,758.00","253,540.00","519,731.00"
,"Los Angeles, CA","184,491.75","130,321.25","4,075.00","370,111.00","688,999.00"
,"NWSA (Seattle & Tacoma, WA)","23,847.00","66,955.00","6,173.00","96,992.00","193,967.00"
,"Oakland, CA","19,981.00","82,164.00","19,770.00","80,003.00","201,918.00"
,Port of NY & NJ,"177,254.00","97,312.00","1,289.00","284,074.00","559,929.00"
,"Port of Virginia, VA","32,605.00","71,158.00","3,171.00","100,310.00","207,244.00"
,"Savannah, GA","42,486.00","120,852.00","7,874.00","166,679.00","337,891.00"
April 2020 Total,,"669,334.75","819,683.25","83,710.00","1,534,642.00","3,107,370.00"
May 2020,"Charleston, SC","32,400.00","58,972.00","5,262.00","73,072.00","169,706.00"
,"Houston, TX","13,244.00","100,538.00","8,959.00","99,509.00","222,250.00"
,"Long Beach, CA","171,841.00","134,556.00","9,219.00","312,590.00","628,206.00"
,"Los Angeles, CA","170,916.75","104,382.00",43.00,"306,323.00","581,664.75"
,"NWSA (Seattle & Tacoma, WA)","29,583.00","59,595.00","8,123.00","86,129.00","183,430.00"
,"Oakland, CA","25,444.00","69,720.00","17,008.00","73,423.00","185,595.00"
,Port of NY & NJ,"174,942.00","95,462.00","1,004.00","266,004.00","537,412.00"
,"Port of Virginia, VA","39,940.00","72,160.00","2,068.00","87,669.00","201,837.00"
,"Savannah, GA","52,664.00","122,271.00","7,695.00","154,730.00","337,360.00"
May 2020 Total,,"710,974.75","817,656.00","59,381.00","1,459,449.00","3,047,460.75"
June 2020,"Charleston, SC","25,021.00","57,935.00","3,762.00","69,775.00","156,493.00"
,"Houston, TX","9,392.00","97,635.00","17,002.00","86,903.00","210,932.00"
,"Long Beach, CA","172,628.00","117,538.00","11,300.00","300,714.00","602,180.00"
,"Los Angeles, CA","212,632.75","109,585.75",68.00,"369,188.90","691,475.40"
,"NWSA (Seattle & Tacoma, WA)","40,903.00","70,431.00","6,939.00","104,115.00","222,388.00"
,"Oakland, CA","30,007.00","70,638.00","15,902.00","82,464.00","199,011.00"
,Port of NY & NJ,"146,701.00","97,769.00","2,782.00","264,054.00","511,306.00"
,"Port of Virginia, VA","41,841.00","71,591.00","1,735.00","95,502.00","210,669.00"
,"Savannah, GA","52,357.00","117,424.00","7,143.00","161,363.00","338,287.00"
June 2020 Total,,"731,482.75","810,546.75","66,633.00","1,534,078.90","3,142,741.40"
July 2020,"Charleston, SC","35,140.00","57,628.00","2,676.00","81,530.00","176,974.00"
,"Houston, TX","12,212.00","98,509.00","21,677.00","102,339.00","234,737.00"
,"Long Beach, CA","224,918.00","138,602.00","12,755.00","376,807.00","753,082.00"
,"Los Angeles, CA","272,838.70","126,353.70","1,168.00","456,028.70","856,389.10"
,"NWSA (Seattle & Tacoma, WA)","40,352.00","56,547.00","5,984.00","103,389.00","206,272.00"
,"Oakland, CA","39,651.00","71,525.00","11,484.00","96,420.00","219,080.00"
,Port of NY & NJ,"175,859.00","102,740.00","2,785.00","326,079.00","607,463.00"
,"Port of Virginia, VA","45,384.00","68,594.00","1,359.00","105,692.00","221,029.00"
,"Savannah, GA","55,175.00","112,464.00","7,509.00","185,548.00","360,696.00"
July 2020 Total,,"901,529.70","832,962.70","67,397.00","1,833,832.70","3,635,722.10"
August 2020,"Charleston, SC","42,817.00","66,825.00","2,230.00","96,965.00","208,837.00"
,"Houston, TX","21,394.00","98,552.00","11,970.00","116,714.00","248,630.00"
,"Long Beach, CA","220,951.00","126,177.00","13,691.00","364,792.00","725,611.00"
,"Los Angeles, CA","313,379.25","131,428.75",738.80,"516,285.95","961,832.75"
,"NWSA (Seattle & Tacoma, WA)","46,533.00","54,918.00","5,291.00","107,890.00","214,632.00"
,"Oakland, CA","41,215.00","76,144.00","11,866.00","96,264.00","225,489.00"
,Port of NY & NJ,"216,430.00","103,067.00","1,981.00","366,887.00","688,365.00"
,"Port of Virginia, VA","50,160.00","75,325.00",950.00,"120,914.00","247,349.00"
,"Savannah, GA","92,615.00","115,665.00","5,779.00","227,537.00","441,596.00"
August 2020 Total,,"1,045,494.25","848,101.75","54,496.80","2,014,248.95","3,962,341.75"
September 2020,"Charleston, SC","38,804.00","60,245.00","5,653.00","90,399.00","195,101.00"
,"Houston, TX","29,781.00","92,415.00","10,701.00","121,508.00","254,405.00"
,"Long Beach, CA","266,071.00","112,556.00","11,335.00","405,618.00","795,580.00"
,"Los Angeles, CA","276,546.50","130,396.75","4,887.05","471,794.50","883,624.80"
,"NWSA (Seattle & Tacoma, WA)","50,494.00","66,939.00","6,878.00","122,543.00","246,854.00"
,"Oakland, CA","41,440.00","75,674.00","14,779.00","93,914.00","225,807.00"
,Port of NY & NJ,"229,523.00","114,690.00","2,107.00","374,649.00","720,969.00"
,"Port of Virginia, VA","57,704.00","75,526.00","2,094.00","121,115.00","256,439.00"
,"Savannah, GA","89,992.00","105,229.00","4,400.00","212,517.00","412,138.00"
September 2020 Total,,"1,080,355.50","833,670.75","62,834.05","2,014,057.50","3,990,917.80"
October 2020,"Charleston, SC","44,717.00","69,093.00","5,824.00","96,563.00","216,197.00"
,"Houston, TX","50,979.00","97,185.00","12,871.00","135,175.00","296,210.00"
,"Long Beach, CA","274,988.00","114,679.00","14,528.00","402,408.00","806,603.00"
,"Los Angeles, CA","325,980.00","143,935.75","4,199.60","506,613.20","980,728.55"
,"NWSA (Seattle & Tacoma, WA)","51,634.00","64,282.00","8,165.00","114,659.00","238,740.00"
,"Oakland, CA","29,000.00","86,942.00","13,970.00","86,753.00","216,665.00"
,Port of NY & NJ,"231,741.00","118,281.00","2,312.00","403,103.00","755,437.00"
