,,,,
,U.S. Department of Transportation,,,
,Maritime Administration,,,
,Capacities of Containerships Calling on U.S. Ports (2016),,,
,Expressed in Twenty Foot-Equivalent Unit (TEU),,,
,,CAPACITY IN TEU,,
,Name,Maximum,Average,Calls
,"ANCHORAGE, AK**","5,510","3,940",78
,"BALTIMORE, MD","9,400","5,534",381
,"BOSTON, MA","8,930","5,760",159
,"CHARLESTON, SC","10,700","5,791","1,377"
,"CHARLOTTE AMALIE, VI","1,368","1,108",162
,"CHRISTIANSTED, VI","1,368","1,113",69
,"EVERETT, WA","2,546","2,303",34
,"FREEPORT, TX","2,602","2,198",107
,"GULFPORT, MS","2,602","1,244",130
,"HONOLULU, HI**","3,820","2,109",96
,"HOUSTON, TX","6,732","4,132",935
,"JACKSONVILLE, FL","9,040","4,254",432
,"LONG BEACH, CA","17,859","6,498",927
,"LOS ANGELES, CA","17,859","6,473","1,169"
,"MIAMI, FL","8,814","3,290","1,056"
,"MOBILE, AL","6,572","4,695",222
,"NEW ORLEANS, LA","6,732","4,118",546
,"NEW YORK, NY","8,814","3,608",32
,"NEWARK, NJ                                            ","10,700","5,584","2,296"
,"NORFOLK, VA","10,700","5,901","1,858"
,"OAKLAND, CA","17,859","6,637","1,735"
,"PHILADELPHIA, PA","9,403","3,160",585
,"PORT EVERGLADES, FL","6,732","2,017","1,633"
,"PORT HUENEME, CA","2,546","1,977",70
,"PORT MANATEE, FL","2,490",783,66
,"PORTLAND, ME",724,710,21
,"PORTLAND, OR","2,118","2,118",12
,"SAN DIEGO, CA","1,740","1,411",82
,"SAN JUAN, PR**","5,018","1,797",263
,"SAVANNAH, GA","10,700","5,656","1,992"
,"SEATTLE, WA","17,859","6,761",293
,"TACOMA, WA","10,106","6,568",495
,"TAMPA, FL","3,426","2,868",57
,"WEST PALM BEACH, FL","1,147",720,234
,"WILMINGTON, DE","2,524","1,661",220
,"WILMINGTON, NC","8,452","2,821",292
,"Source: U.S. Customs and Border Protection Entrance Data, CBP Form 1300 & IHS Maritime",,,
,**U.S.-Flag Jones Act Containerships are not included in these totals,,,
,See 19 CFR Part 4 for more details on Reporting Requirements for Vessels,,,
