Port,Median Berthing Time (hour)
Port of Wilmington (NC),14.06
Port of Virginia (Norfolk),21.465
Port of Tampa Bay,30.83
Port of Tacoma,22.46
Port of Seattle,35.415
Port of Miami,15.53
Port of Savannah,26.405
Port of Providence,28.935
Port of Portland (OR),21.835
Port of Pascagoula,46.48
Port of Oakland,33.32
Port of Los Angeles,56.82
Port of Long Beach,40.545
Port of Gulfport,13.53
Port of Baton Rouge,45.58
Port of Charleston,20.58
Port of Brunswick (GA),19.96
Port of Freeport,32.17
Port Everglades (Fort Lauderdale),14.39
Port Arthur / Beaumont,43.17
Port of Philadelphia,17.22
Port of New York / New Jersey,30.31
Port of New Orleans,30.06
Port of Mobile,24.83
Port of Lake Charles,40.25
Port of Jacksonville,26.58
Port of Houston,42.585
Port of Corpus Christi,43.75
Port of Boston,22.34
Port of Baltimore,24.22
