Port,Maximum(TEU),Average(TEU),Calls
Port of Baltimore,"9,400","5,534",381
Port of Boston,"8,930","5,760",159
Port of Charleston,"10,700","5,791","1,377"
Port of Freeport,"2,602","2,198",107
Port of Gulfport,"2,602","1,244",130
Port of Houston,"6,732","4,132",935
Port of Jacksonville,"9,040","4,254",432
Port of Long Beach,"17,859","6,498",927
Port of Los Angeles,"17,859","6,473","1,169"
Port of Miami,"8,814","3,290","1,056"
Port of Mobile,"6,572","4,695",222
Port of New Orleans,"6,732","4,118",546
Port of New York / New Jersey,"10,700","5,584","2,296"
Port of Virginia (Norfolk),"10,700","5,901","1,858"
Port of Oakland,"17,859","6,637","1,735"
Port Everglades (Fort Lauderdale),"6,732","2,017","1,633"
Port Hueneme,"2,546","1,977",70
Port of Portland (OR),"2,118","2,118",12
Port of San Diego,"1,740","1,411",82
Port of Savannah,"10,700","5,656","1,992"
Port of Seattle,"17,859","6,761",293
Port of Tacoma,"10,106","6,568",495
Port of Tampa Bay,"3,426","2,868",57
Port of Wilmington (NC),"8,452","2,821",292
