port_name,min_lon,min_lat,max_lon,max_lat
Port of Houston,-95.05,29.66,-94.95,29.72
Port of Corpus Christi,-97.42,27.79,-97.35,27.84
Port of Brownsville,-97.44,25.95,-97.38,26.00
Port Arthur / Beaumont,-93.96,29.86,-93.90,29.92
Port of Galveston,-94.84,29.28,-94.77,29.33
Port of New Orleans,-90.08,29.92,-89.98,29.97
Port of Lake Charles,-93.25,30.18,-93.19,30.23
Port of Mobile,-88.05,30.68,-87.98,30.73
Port of Tampa Bay,-82.52,27.88,-82.45,27.93
Port of Pascagoula,-88.58,30.33,-88.52,30.38
Port of Gulfport,-89.10,30.35,-89.04,30.40
Port of Freeport,-95.37,28.93,-95.31,28.98
Port of New York / New Jersey,-74.07,40.64,-74.00,40.70
Port of Baltimore,-76.59,39.24,-76.52,39.29
Port of Virginia (Norfolk),-76.33,36.93,-76.26,36.98
Port of Savannah,-81.10,32.07,-81.03,32.12
Port of Charleston,-79.94,32.76,-79.87,32.81
Port of Jacksonville,-81.58,30.37,-81.51,30.42
Port Everglades (Fort Lauderdale),-80.13,26.07,-80.07,26.12
Port of Miami,-80.18,25.77,-80.12,25.82
Port of Port Canaveral,-80.63,28.40,-80.57,28.45
Port of Philadelphia,-75.15,39.92,-75.08,39.97
Port of Boston,-71.04,42.34,-70.98,42.39
Port of Providence,-71.41,41.80,-71.35,41.85
Port of Wilmington (NC),-77.96,34.22,-77.90,34.27
Port of Brunswick (GA),-81.52,31.13,-81.46,31.18
Port of Los Angeles,-118.28,33.71,-118.22,33.76
Port of Long Beach,-118.23,33.74,-118.17,33.79
Port of San Diego,-117.18,32.68,-117.12,32.73
Port of San Francisco,-122.39,37.78,-122.33,37.83
Port of Oakland,-122.32,37.79,-122.26,37.84
Port of Seattle,-122.38,47.58,-122.32,47.63
Port of Tacoma,-122.44,47.25,-122.38,47.30
Port of Portland (OR),-122.73,45.62,-122.67,45.67
Port Hueneme,-119.22,34.14,-119.16,34.19
Port of Chicago,-87.67,41.83,-87.61,41.88
Port of Detroit,-83.10,42.29,-83.04,42.34
Port of Cleveland,-81.70,41.49,-81.64,41.54
Port of Milwaukee,-87.92,43.01,-87.86,43.06
Port of Duluth / Superior,-92.11,46.77,-92.05,46.82
Port of Toledo,-83.54,41.67,-83.48,41.72
Port of Buffalo,-78.90,42.87,-78.84,42.92
Port of St. Louis,-90.20,38.61,-90.14,38.66
Port of Memphis,-90.10,35.12,-90.04,35.17
Port of Baton Rouge,-91.20,30.43,-91.14,30.48
