source,author,title,description,content,url,image_url,published_at,search_term,matched_keywords,matched_keywords_str,categories,categories_str,clean_text,has_image,title_length,description_length,clean_text_length,category_count,keyword_count,published_date,published_hour_utc,published_dayofweek_utc
Slickdeals.net,jk6812,"Hello Kitty Island Adventure (PS5, Physical) $19.99 + Free Shipping w/ Prime or on $35+","Amazon [amazon.com] has *Hello Kitty Island Adventure Standard Edition (PlayStation 5, Physical)* on sale for *$19.99*. Shipping is free w/ Prime or on orders $35+.","This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",https://slickdeals.net/f/19384431-hello-kitty-island-adventure-ps5-physical-19-99-free-shipping-w-prime-or-on-35,https://slickdeals.net/attachment/1/1/4/9/0/0/1/2/450x450/20023209.thumb,2026-04-05 01:27:38+00:00,port OR shipping OR freight OR maritime OR smuggling,['shipping'],shipping,['ports'],ports,"Hello Kitty Island Adventure (PS5, Physical) $19.99 + Free Shipping w/ Prime or on $35+ Amazon [amazon.com] has *Hello Kitty Island Adventure Standard Edition (PlayStation 5, Physical)* on sale for *$19.99*. Shipping is free w/ Prime or on orders $35+. This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",True,87,164,465,1,1,2026-04-05,1,6
Slickdeals.net,jk6812,16-Oz LA MODERNA Spaghetti Pasta $0.97 + Free Shipping w/ Prime or on $35+,Amazon [amazon.com] has *16-Oz LA MODERNA Spaghetti Pasta* on sale for *$0.97*. Shipping is free w/ Prime or on orders $35+.,"This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",https://slickdeals.net/f/19384401-16-oz-la-moderna-spaghetti-pasta-0-97-free-shipping-w-prime-or-on-35,https://slickdeals.net/attachment/1/1/4/9/0/0/1/2/450x450/20023173.thumb,2026-04-05 01:13:54+00:00,port OR shipping OR freight OR maritime OR smuggling,['shipping'],shipping,['ports'],ports,"16-Oz LA MODERNA Spaghetti Pasta $0.97 + Free Shipping w/ Prime or on $35+ Amazon [amazon.com] has *16-Oz LA MODERNA Spaghetti Pasta* on sale for *$0.97*. Shipping is free w/ Prime or on orders $35+. This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",True,74,124,412,1,1,2026-04-05,1,6
Slickdeals.net,jk6812 | Staff,4-Tier Humble Crew Kids Bookshelf (White/Pastels) $20.62 + Free Shipping w/ Prime or on $35+ (3 replies),Amazon [amazon.com] has 4-Tier Humble Crew Kids Bookshelf (White/Pastels) on sale for $20.62. Shipping is free w/ Prime or on orders $35+.,"This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",https://slickdeals.net/f/19384377-4-tier-humble-crew-kids-bookshelf-white-pastels-20-62-free-shipping-w-prime-or-on-35,https://slickdeals.net/attachment/1/1/4/9/0/0/1/2/450x450/20023155.thumb,2026-04-05 00:58:50+00:00,port OR shipping OR freight OR maritime OR smuggling,['shipping'],shipping,['ports'],ports,"4-Tier Humble Crew Kids Bookshelf (White/Pastels) $20.62 + Free Shipping w/ Prime or on $35+ (3 replies) Amazon [amazon.com] has 4-Tier Humble Crew Kids Bookshelf (White/Pastels) on sale for $20.62. Shipping is free w/ Prime or on orders $35+. This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",True,104,138,456,1,1,2026-04-05,0,6
The Times of India,ANI,"Iran rejects Trump's 48-hour ultimatum, calls it 'helpless' and 'unbalanced'","US-Iran war: Iran's military command has dismissed US President Donald Trump's 48-hour ultimatum to destroy critical infrastructure if a peace deal isn't reached. Al Jazeera reported that General Ali Abdollahi Aliabadi labelled the threat a ""helpless, nervous…","Iran's central military command has dismissed the recent ultimatum issued by US President Donald Trump, who threatened the destruction of the nation's essential infrastructure should a peace agreemen… [+2188 chars]",https://economictimes.indiatimes.com/news/defence/iran-rejects-trumps-48-hour-ultimatum-calls-it-helpless-and-unbalanced/articleshow/130031064.cms,"https://img.etimg.com/thumb/msid-130031076,width-1200,height-630,imgsize-73590,overlay-etdefence/articleshow.jpg",2026-04-05 00:42:55+00:00,port OR shipping OR freight OR maritime OR smuggling,['port'],port,['ports'],ports,"Iran rejects Trump's 48-hour ultimatum, calls it 'helpless' and 'unbalanced' US-Iran war: Iran's military command has dismissed US President Donald Trump's 48-hour ultimatum to destroy critical infrastructure if a peace deal isn't reached. Al Jazeera reported that General Ali Abdollahi Aliabadi labelled the threat a ""helpless, nervous… Iran's central military command has dismissed the recent ultimatum issued by US President Donald Trump, who threatened the destruction of the nation's essential infrastructure should a peace agreemen… [+2188 chars]",True,76,260,552,1,1,2026-04-05,0,6
Slickdeals.net,dubba-low,Sega Genesis Cartridge Console Heroes: Altered Beast Collectible Diorama w/ Mini Werewolf & Aggar Figures $10.58 + Free Shipping w/ Prime or on $35+,Amazon [amazon.com] has *Sega Genesis Cartridge Console Heroes: Altered Beast Collectible Diorama w/ Mini Werewolf & Aggar Figures* for *$10.58*. Shipping is free w/ Prime or on $35+.,"This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",https://slickdeals.net/f/19384338-sega-genesis-cartridge-console-heroes-altered-beast-collectible-diorama-w-mini-werewolf-aggar-figures-10-58-free-shipping-w-prime-or-on-35,https://slickdeals.net/attachment/3/8/9/0/8/6/450x450/20023110.thumb,2026-04-05 00:24:32+00:00,port OR shipping OR freight OR maritime OR smuggling,['shipping'],shipping,['ports'],ports,"Sega Genesis Cartridge Console Heroes: Altered Beast Collectible Diorama w/ Mini Werewolf & Aggar Figures $10.58 + Free Shipping w/ Prime or on $35+ Amazon [amazon.com] has *Sega Genesis Cartridge Console Heroes: Altered Beast Collectible Diorama w/ Mini Werewolf & Aggar Figures* for *$10.58*. Shipping is free w/ Prime or on $35+. This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",True,148,183,545,1,1,2026-04-05,0,6
Github.com,simonsysun,Show HN: SeekLink – Local hybrid search and link discovery for Obsidian vaults,"SeekLink — hybrid semantic search and link discovery MCP server for Obsidian vaults. Fully local, native CJK support. - simonsysun/seeklink","Let your AI agent manage your Zettelkasten. SeekLink is an MCP server that gives AI assistants (Claude Code, Cursor, etc.) deep access to your markdown vault. It searches, discovers missing connecti… [+4531 chars]",https://github.com/simonsysun/seeklink,https://opengraph.githubassets.com/8e68830908b9f3239c21713064421f59a971fca7fb51349636c531522ff7f087/simonsysun/seeklink,2026-04-05 00:18:48+00:00,port OR shipping OR freight OR maritime OR smuggling,['port'],port,['ports'],ports,"Show HN: SeekLink – Local hybrid search and link discovery for Obsidian vaults SeekLink — hybrid semantic search and link discovery MCP server for Obsidian vaults. Fully local, native CJK support. - simonsysun/seeklink Let your AI agent manage your Zettelkasten. SeekLink is an MCP server that gives AI assistants (Claude Code, Cursor, etc.) deep access to your markdown vault. It searches, discovers missing connecti… [+4531 chars]",True,78,139,432,1,1,2026-04-05,0,6
Alltoc.com,AllToc,What is Trump’s 48-hour ultimatum to Iran? #politics,"Trump set a two day deadline tied to Hormuz access President Donald Trump issued an ultimatum to Iran giving the country 48 hours to act, warning that consequences would follow if Iran did not comply. Multiple reports describe the same central demand: Iran mu…","President Donald Trump issued an ultimatum to Iran giving the country 48 hours to act, warning that consequences would follow if Iran did not comply. Multiple reports describe the same central demand… [+1442 chars]",https://alltoc.com/politics/what-is-trumps-48-hour-ultimatum-to-iran,https://alltoc.com/cdn/1046/og.png,2026-04-05 00:02:58+00:00,port OR shipping OR freight OR maritime OR smuggling,"['port', 'ports']","port, ports",['ports'],ports,"What is Trump’s 48-hour ultimatum to Iran? #politics Trump set a two day deadline tied to Hormuz access President Donald Trump issued an ultimatum to Iran giving the country 48 hours to act, warning that consequences would follow if Iran did not comply. Multiple reports describe the same central demand: Iran mu… President Donald Trump issued an ultimatum to Iran giving the country 48 hours to act, warning that consequences would follow if Iran did not comply. Multiple reports describe the same central demand… [+1442 chars]",True,52,260,528,1,2,2026-04-05,0,6
The Times of India,ET Bureau,"‘Energy trade with Iran progressing smoothly’, says Oil Ministry amid West Asia conflict",West Asia War: India has resumed energy trade with Iran. Refiners are receiving Iranian crude oil and LPG. This comes as the country secures global supplies amid Middle East disruptions. Iran's oil shipments are crucial for India's growing economy. The nation…,"New Delhi: Indian refiners have secured Iranian crude and aren't facing any payment hurdles, the oil ministry said Saturday, adding that an LPG cargo is currently discharging at Mangalore port. This … [+2614 chars]",https://economictimes.indiatimes.com/industry/energy/oil-gas/energy-trade-with-iran-progressing-smoothly-says-oil-ministry-amid-west-asia-conflict/articleshow/130024171.cms,"https://img.etimg.com/thumb/msid-130024426,width-1200,height-630,imgsize-226748,overlay-economictimes/articleshow.jpg",2026-04-05 00:00:00+00:00,port OR shipping OR freight OR maritime OR smuggling,"['port', 'cargo', 'trade', 'shipment']","port, cargo, trade, shipment","['ports', 'trade_at_ports']","ports, trade_at_ports","‘Energy trade with Iran progressing smoothly’, says Oil Ministry amid West Asia conflict West Asia War: India has resumed energy trade with Iran. Refiners are receiving Iranian crude oil and LPG. This comes as the country secures global supplies amid Middle East disruptions. Iran's oil shipments are crucial for India's growing economy. The nation… New Delhi: Indian refiners have secured Iranian crude and aren't facing any payment hurdles, the oil ministry said Saturday, adding that an LPG cargo is currently discharging at Mangalore port. This … [+2614 chars]",True,88,260,564,2,4,2026-04-05,0,6
Slickdeals.net,dRinksurgE1975,"LG Partner Store: 83"" LG C5 OLED evo AI 4K Smart TV + Installation $2399.99","LG 83"" OLED C5 is $2399.99 + free shipping and installation. Lowest price?? https://members.us.lg.com/store/p...oled-4k-tv 65"" OLED C5 is $1199.99, slightly higher than my last post but still...","This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",https://slickdeals.net/f/19384290-lg-partner-store-83-lg-c5-oled-evo-ai-4k-smart-tv-installation-2399-99,https://slickdeals.net/attachment/3/4/5/3/6/9/6/6/450x450/20023062.thumb,2026-04-04 23:54:31+00:00,port OR shipping OR freight OR maritime OR smuggling,['shipping'],shipping,['ports'],ports,"LG Partner Store: 83"" LG C5 OLED evo AI 4K Smart TV + Installation $2399.99 LG 83"" OLED C5 is $2399.99 + free shipping and installation. Lowest price?? https://members.us.lg.com/store/p...oled-4k-tv 65"" OLED C5 is $1199.99, slightly higher than my last post but still... This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",True,75,194,483,1,1,2026-04-04,23,5
Slickdeals.net,dRinksurgE1975,"LG Partner Store: 65"" LG G5 OLED evo AI 4K Smart TV + Free Installation $1699.99 (3 replies)","LG 65"" OLED G5 is $1699.99 + Shipping and installation. There are soundbars and 4K projector you can buy at 50% off with this tv. https://members.us.lg.com/store/p...oled-4k-tv","This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",https://slickdeals.net/f/19384281-lg-partner-store-65-lg-g5-oled-evo-ai-4k-smart-tv-free-installation-1699-99,https://slickdeals.net/attachment/3/4/5/3/6/9/6/6/450x450/20023053.thumb,2026-04-04 23:51:26+00:00,port OR shipping OR freight OR maritime OR smuggling,['shipping'],shipping,['ports'],ports,"LG Partner Store: 65"" LG G5 OLED evo AI 4K Smart TV + Free Installation $1699.99 (3 replies) LG 65"" OLED G5 is $1699.99 + Shipping and installation. There are soundbars and 4K projector you can buy at 50% off with this tv. https://members.us.lg.com/store/p...oled-4k-tv This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",True,92,176,482,1,1,2026-04-04,23,5
Bringatrailer.com,bringatrailer,"2,500-Mile 2019 Chevrolet Corvette ZR1 Convertible 3ZR ZTK","This 2019 Chevrolet Corvette ZR1 convertible was specified from the factory with the 3ZR Premium Equipment Group, the Track Performance Package, and heated and ventilated Competition Sport seats before being delivered new to Buff Whelan Chevrolet of Sterling …","This 2019 Chevrolet Corvette ZR1 convertible was specified from the factory with the 3ZR Premium Equipment Group, the Track Performance Package, and heated and ventilated Competition Sport seats befo… [+3302 chars]",https://bringatrailer.com/listing/2019-chevrolet-corvette-zr1-convertible-46/,https://bringatrailer.com/wp-content/uploads/2026/03/2019_chevrolet_corvette-zr1-convertible_DSC08143-67822-scaled.jpg,2026-04-04 23:50:03+00:00,port OR shipping OR freight OR maritime OR smuggling,['port'],port,['ports'],ports,"2,500-Mile 2019 Chevrolet Corvette ZR1 Convertible 3ZR ZTK This 2019 Chevrolet Corvette ZR1 convertible was specified from the factory with the 3ZR Premium Equipment Group, the Track Performance Package, and heated and ventilated Competition Sport seats before being delivered new to Buff Whelan Chevrolet of Sterling … This 2019 Chevrolet Corvette ZR1 convertible was specified from the factory with the 3ZR Premium Equipment Group, the Track Performance Package, and heated and ventilated Competition Sport seats befo… [+3302 chars]",True,58,260,534,1,1,2026-04-04,23,5
